"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2022","55,500","54,900","55,500","53,000","1.45M","0.91%"
"09/30/2022","55,000","53,300","56,400","53,300","1.72M","0.73%"
"09/29/2022","54,600","57,700","58,200","54,300","1.70M","-5.04%"
"09/28/2022","57,500","60,100","60,800","57,500","1.14M","-5.74%"
"09/27/2022","61,000","62,100","62,200","60,800","639.10K","-1.61%"
"09/26/2022","62,000","61,800","62,600","61,600","1.20M","-0.96%"
"09/23/2022","62,600","63,000","63,300","62,000","324.20K","-1.11%"
"09/22/2022","63,300","62,500","63,300","58,700","1.24M","0.32%"
"09/21/2022","63,100","63,500","63,600","62,700","482.70K","-1.25%"
"09/20/2022","63,900","62,600","63,900","62,600","800.10K","1.59%"
"09/19/2022","62,900","62,500","63,300","62,100","786.00K","0.64%"
"09/16/2022","62,500","63,200","64,500","62,500","1.68M","-2.19%"
"09/15/2022","63,900","63,500","64,000","62,800","851.30K","0.79%"
"09/14/2022","63,400","63,500","63,700","62,100","711.00K","-1.09%"
"09/13/2022","64,100","64,000","64,300","63,600","1.06M","0.16%"
"09/12/2022","64,000","64,900","64,900","63,800","552.90K","-0.62%"
"09/09/2022","64,400","63,200","64,400","62,900","1.19M","2.38%"
"09/08/2022","62,900","63,300","63,600","62,400","841.20K","0.64%"
"09/07/2022","62,500","63,300","63,400","62,500","1.35M","-1.26%"
"09/06/2022","63,300","64,100","64,800","63,100","1.34M","-1.09%"
"09/05/2022","64,000","64,800","65,200","64,000","1.31M","0.47%"
"08/31/2022","63,700","64,000","65,700","63,700","1.24M","0.16%"
"08/30/2022","63,600","63,600","64,100","63,200","868.40K","0.00%"
"08/29/2022","63,600","64,300","64,400","63,000","1.34M","-2.15%"
"08/26/2022","65,000","66,000","66,000","65,000","861.30K","-1.37%"
"08/25/2022","65,900","65,000","65,900","65,000","483.00K","1.54%"
"08/24/2022","64,900","65,200","65,800","64,900","787.50K","-0.15%"
"08/23/2022","65,000","65,500","65,600","64,800","1.44M","-1.52%"
"08/22/2022","66,000","67,200","68,000","66,000","1.47M","-2.80%"
"08/19/2022","67,900","68,000","68,400","66,800","1.22M","-0.29%"
"08/18/2022","68,100","67,200","69,300","67,200","2.77M","1.19%"
"08/17/2022","67,300","66,200","67,800","66,000","2.20M","2.12%"
"08/16/2022","65,900","66,400","66,400","65,700","862.20K","-0.75%"
"08/15/2022","66,400","66,300","66,500","66,100","802.10K","0.30%"
"08/12/2022","66,200","65,800","66,200","65,500","811.20K","0.61%"
"08/11/2022","65,800","65,600","66,400","65,000","1.67M","1.54%"
"08/10/2022","64,800","65,000","65,600","64,700","967.90K","-0.77%"
"08/09/2022","65,300","64,800","65,400","64,700","792.00K","1.08%"
"08/08/2022","64,600","65,400","65,700","64,600","1.01M","-1.22%"
"08/05/2022","65,400","65,900","66,200","65,200","1.13M","-1.51%"
"08/04/2022","66,400","66,000","66,400","65,400","1.15M","0.61%"
"08/03/2022","66,000","65,800","66,400","65,100","1.25M","-0.90%"
"08/02/2022","66,600","64,800","66,600","64,500","1.37M","2.94%"
"08/01/2022","64,700","64,900","65,100","64,100","1.26M","1.09%"
"07/29/2022","64,000","67,800","67,800","64,000","1.91M","-4.48%"
"07/28/2022","67,000","66,600","67,100","66,000","1.15M","0.75%"
"07/27/2022","66,500","66,200","66,800","66,000","581.40K","0.61%"
"07/26/2022","66,100","66,100","67,600","66,100","592.70K","-1.78%"
"07/25/2022","67,300","66,900","67,400","66,500","755.80K","1.20%"
"07/22/2022","66,500","68,100","68,500","66,500","674.70K","-2.92%"
"07/21/2022","68,500","68,200","68,800","68,100","930.60K","0.44%"
"07/20/2022","68,200","68,800","69,000","68,200","626.10K","-0.87%"
"07/19/2022","68,800","68,000","69,000","68,000","655.40K","1.18%"
"07/18/2022","68,000","69,600","69,600","68,000","1.09M","-2.30%"
"07/15/2022","69,600","69,100","69,800","68,600","1.58M","0.14%"
"07/14/2022","69,500","69,500","69,800","68,500","1.41M","0.00%"
"07/13/2022","69,500","68,600","70,000","68,300","2.00M","-0.57%"
"07/12/2022","69,900","68,600","70,200","68,000","1.21M","-0.14%"
"07/11/2022","70,000","67,700","70,000","66,200","2.39M","0.00%"
"07/08/2022","70,000","70,000","70,700","67,500","1.41M","0.29%"
"07/07/2022","69,800","68,000","69,800","66,500","2.17M","3.41%"
"07/06/2022","67,500","72,000","72,100","67,500","2.17M","-6.64%"
"07/05/2022","72,300","72,700","72,800","72,000","1.48M","-0.55%"
"07/04/2022","72,700","72,400","72,700","72,200","758.30K","0.14%"
"07/01/2022","72,600","73,200","73,400","72,100","1.87M","-1.22%"
"06/30/2022","73,500","72,700","73,500","72,400","1.88M","0.14%"
"06/29/2022","73,400","72,800","73,400","72,300","1.43M","-0.27%"
"06/28/2022","73,600","73,000","73,800","72,400","2.23M","-0.27%"
"06/27/2022","73,800","73,800","74,800","73,500","1.82M","-1.07%"
"06/24/2022","74,600","73,500","74,600","72,000","1.51M","0.54%"
"06/23/2022","74,200","74,100","74,200","73,000","1.55M","-1.07%"
"06/22/2022","75,000","74,700","75,000","73,600","1.42M","0.00%"
"06/21/2022","75,000","75,200","75,200","73,800","1.96M","-0.79%"
"06/20/2022","75,600","76,600","76,600","75,300","2.13M","-1.31%"
"06/17/2022","76,600","75,800","76,600","75,100","3.73M","0.00%"
"06/16/2022","76,600","76,000","77,700","75,800","1.60M","-0.13%"
"06/15/2022","76,700","76,600","76,900","75,300","2.04M","0.13%"
"06/14/2022","76,600","76,200","76,600","75,200","2.06M","0.26%"
"06/13/2022","76,400","76,600","77,400","76,200","1.80M","-2.05%"
"06/10/2022","78,000","77,800","78,200","77,500","979.60K","-0.13%"
"06/09/2022","78,100","78,000","78,200","77,300","1.54M","0.00%"
"06/08/2022","78,100","77,800","78,700","77,600","1.44M","0.13%"
"06/07/2022","78,000","78,500","78,500","77,700","1.56M","-0.64%"
"06/06/2022","78,500","78,700","78,900","77,900","1.50M","-0.38%"
"06/03/2022","78,800","78,100","79,200","78,000","1.25M","-0.13%"
"06/02/2022","78,900","79,200","79,200","77,600","2.94M","-0.50%"
"06/01/2022","79,300","78,600","79,400","78,300","1.54M","0.63%"
"05/31/2022","78,800","78,000","79,500","77,700","1.78M","0.38%"
"05/30/2022","78,500","78,000","78,500","77,200","1.39M","0.64%"
"05/27/2022","78,000","77,400","78,000","77,000","1.58M","0.39%"
"05/26/2022","77,700","77,700","77,700","76,800","2.08M","0.00%"
"05/25/2022","77,700","77,600","78,100","76,700","1.36M","0.13%"
"05/24/2022","77,600","77,000","77,600","76,400","1.57M","0.26%"
"05/23/2022","77,400","77,600","77,700","76,200","2.64M","-0.51%"
"05/20/2022","77,800","77,900","77,900","76,500","2.33M","-0.13%"
"05/19/2022","77,900","76,400","79,000","76,200","2.65M","-0.13%"
"05/18/2022","78,000","78,000","78,000","76,000","2.96M","0.00%"
"05/17/2022","78,000","76,000","78,000","75,200","1.86M","1.30%"
"05/16/2022","77,000","79,000","79,000","76,200","1.99M","-1.28%"
"05/13/2022","78,000","79,000","79,000","77,200","3.13M","-1.27%"
"05/12/2022","79,000","80,000","80,000","77,100","2.47M","-1.86%"
"05/11/2022","80,500","80,200","80,500","78,700","1.98M","0.12%"
"05/10/2022","80,400","78,900","80,400","78,100","2.62M","1.64%"
"05/09/2022","79,100","78,700","79,200","77,900","2.43M","-0.88%"
"05/06/2022","79,800","78,500","80,000","78,000","1.69M","-0.25%"
"05/05/2022","80,000","79,600","80,000","78,500","1.86M","0.38%"
"05/04/2022","79,700","79,600","80,000","77,700","1.44M","-0.38%"
"04/29/2022","80,000","77,500","80,000","76,600","2.15M","2.70%"
"04/28/2022","77,900","78,000","78,200","76,300","1.39M","-0.13%"
"04/27/2022","78,000","77,500","78,000","75,000","2.79M","0.00%"
"04/26/2022","78,000","73,500","78,500","73,500","3.66M","2.36%"
"04/25/2022","76,200","77,800","79,200","72,700","2.74M","-1.93%"
"04/22/2022","77,700","77,700","79,000","77,600","1.87M","0.26%"
"04/21/2022","77,500","79,000","79,500","77,500","2.68M","-2.27%"
"04/20/2022","79,300","78,000","79,800","78,000","1.71M","0.63%"
"04/19/2022","78,800","78,600","79,800","77,800","1.82M","-0.88%"
"04/18/2022","79,500","80,000","80,100","78,100","2.98M","-1.49%"
"04/15/2022","80,700","81,500","81,800","80,600","1.68M","-1.22%"
"04/14/2022","81,700","81,600","82,200","81,100","1.76M","-0.61%"
"04/13/2022","82,200","81,000","82,300","80,700","3.15M","1.11%"
"04/12/2022","81,300","81,400","81,400","80,300","2.36M","-0.49%"
"04/08/2022","81,700","80,000","82,400","80,000","5.19M","2.77%"
"04/07/2022","79,500","80,200","80,300","77,600","3.70M","-1.24%"
"04/06/2022","80,500","80,500","82,300","79,500","5.68M","-2.19%"
"04/05/2022","82,300","82,500","83,100","81,700","3.59M","-0.48%"
"04/04/2022","82,700","82,500","82,800","81,500","2.73M","0.73%"
"04/01/2022","82,100","81,400","82,500","80,900","2.61M","1.11%"
"03/31/2022","81,200","81,100","82,300","81,000","1.37M","0.12%"
"03/30/2022","81,100","82,500","82,700","80,400","3.09M","0.37%"
"03/29/2022","80,800","80,000","81,800","79,800","2.80M","0.37%"
"03/28/2022","80,500","79,900","81,200","79,700","2.34M","-0.62%"
"03/25/2022","81,000","80,600","81,000","79,700","2.19M","0.00%"
"03/24/2022","81,000","81,400","81,400","80,400","2.00M","-0.49%"
"03/23/2022","81,400","82,100","82,400","81,400","1.53M","-0.97%"
"03/22/2022","82,200","81,000","82,400","81,000","3.63M","1.48%"
"03/21/2022","81,000","78,800","81,000","78,300","3.71M","2.79%"
"03/18/2022","78,800","78,300","79,500","77,400","5.52M","0.51%"
"03/17/2022","78,400","78,300","78,500","77,300","2.57M","0.38%"
"03/16/2022","78,100","78,300","78,400","77,200","2.95M","-0.26%"
"03/15/2022","78,300","78,000","78,600","77,000","2.73M","0.00%"
"03/14/2022","78,300","78,800","78,800","77,400","2.62M","-0.89%"
"03/11/2022","79,000","78,800","79,000","77,800","2.22M","-0.13%"
"03/10/2022","79,100","78,500","80,600","78,000","4.37M","1.41%"
"03/09/2022","78,000","78,100","78,700","77,300","3.05M","0.13%"
"03/08/2022","77,900","78,000","78,900","77,100","4.29M","-0.76%"
"03/07/2022","78,500","78,400","79,000","77,300","2.44M","-0.63%"
"03/04/2022","79,000","79,000","79,300","77,800","3.82M","0.00%"
"03/03/2022","79,000","78,900","80,400","78,300","2.61M","0.13%"
"03/02/2022","78,900","79,200","79,200","77,200","2.40M","-0.38%"
"03/01/2022","79,200","77,100","79,900","77,000","3.47M","2.86%"
"02/28/2022","77,000","79,500","79,500","77,000","4.68M","-2.65%"
"02/25/2022","79,100","80,900","80,900","79,100","3.39M","-1.25%"
"02/24/2022","80,100","82,300","82,400","79,300","6.37M","-2.91%"
"02/23/2022","82,500","82,100","82,500","82,000","1.44M","0.61%"
"02/22/2022","82,000","83,000","83,300","81,800","2.98M","-1.91%"
"02/21/2022","83,600","82,100","83,800","82,000","2.51M","1.70%"
"02/18/2022","82,200","82,500","82,800","82,000","2.91M","-1.08%"
"02/17/2022","83,100","82,800","83,500","82,000","2.87M","0.24%"
"02/16/2022","82,900","83,900","83,900","82,700","1.99M","-0.96%"
"02/15/2022","83,700","82,000","83,800","81,800","3.00M","2.32%"
"02/14/2022","81,800","81,700","84,000","80,700","4.97M","0.12%"
"02/11/2022","81,700","83,000","83,600","81,500","7.85M","-2.74%"
"02/10/2022","84,000","85,700","86,000","81,700","11.09M","-1.98%"
"02/09/2022","85,700","87,600","88,700","84,900","8.81M","-1.83%"
"02/08/2022","87,300","91,300","92,300","86,700","8.01M","-4.28%"
"02/07/2022","91,200","96,400","97,500","91,200","7.41M","-5.98%"
"01/28/2022","97,000","95,100","97,000","94,500","3.00M","0.52%"
"01/27/2022","96,500","96,500","96,500","94,200","2.56M","0.10%"
"01/26/2022","96,400","96,500","96,500","94,500","1.93M","0.42%"
"01/25/2022","96,000","95,000","97,700","93,400","3.20M","1.05%"
"01/24/2022","95,000","94,900","96,000","92,500","3.94M","-0.52%"
"01/21/2022","95,500","95,900","96,000","93,300","3.19M","0.53%"
"01/20/2022","95,000","94,600","96,300","94,600","1.69M","-0.84%"
"01/19/2022","95,800","95,000","95,900","93,500","2.48M","-0.10%"
"01/18/2022","95,900","97,000","97,000","94,100","2.03M","-1.13%"
"01/17/2022","97,000","99,000","99,200","94,500","2.63M","-1.92%"
"01/14/2022","98,900","98,200","99,600","98,200","1.02M","0.10%"
"01/13/2022","98,800","101,000","101,000","98,500","1.96M","-1.98%"
"01/12/2022","100,800","101,500","101,500","98,000","2.34M","-0.20%"
"01/11/2022","101,000","102,000","102,000","99,800","2.24M","-1.27%"
"01/10/2022","102,300","102,500","105,500","102,200","2.91M","0.10%"
